Isolate.ID,DirTax_Class,Cluster.x,TotalIso.x,Inhibitory.x,NonInhibitory.x,Null,Contam,prop.inhib,prop.noninhib,prop.na,prop.contam,Closest_Cluster,Inhibition,DirTax_Phylum,Cluster.y,TotalIso.y,Inhibitory.y,NonInhibitory.y,Reason
Mada.494,Actinobacteria,671,5,2,3,0,0,40,60,0,0,0.019249182349643845,Inhibitory,Actinobacteria,671,,3,2,
Mada.731,Actinobacteria,705,3,2,1,0,0,66.66666666666666,33.33333333333333,0,0,0.009503747,Inhibitory,Actinobacteria,705,,NA,NA,
Mada.740,Actinobacteria,708,5,3,2,0,0,60,40,0,0,0.009594244,Inhibitory,Actinobacteria,708,,4,1,
Mada.1166,Alphaproteobacteria,948,9,6,3,0,0,66.66666666666666,33.33333333333333,0,0,0.1484199306765846,Inhibitory,Proteobacteria,948,,7,1,
Mada.122,Alphaproteobacteria,395,4,1,3,0,0,25,75,0,0,0.080551197,Inhibitory,Proteobacteria,395,,2,1,
Mada.2441,Alphaproteobacteria,257,2,1,1,0,0,50,50,0,0,0.038788807,Inhibitory,Proteobacteria,257,,NA,NA,
Mada.2468,Alphaproteobacteria,865,9,6,2,1,0,66.66666666666666,22.22222222222222,11.11111111111111,0,0.038788807,NonInhibitory,Proteobacteria,865,,NA,NA,
Mada.2586,Alphaproteobacteria,1,31,25,4,2,0,80.64516129032258,12.903225806451612,6.451612903225806,0,0.038788807,Inhibitory,Proteobacteria,1,,26,3,
Mada.2669,Alphaproteobacteria,134,20,11,8,1,0,55.00000000000001,40,5,0,0.038788807,Inhibitory,Proteobacteria,134,,12,2,
Mada.2765,Alphaproteobacteria,853,3,1,2,0,0,33.33333333333333,66.66666666666666,0,0,0.009594244,Facilitating,Proteobacteria,853,,NA,NA,
Mada.3130,Alphaproteobacteria,905,6,5,1,0,0,83.33333333333334,16.666666666666664,0,0,0.038788807,NonInhibitory,Proteobacteria,905,,5,1,
Mada.3428,Alphaproteobacteria,390,4,3,1,0,0,75,25,0,0,0.038788807,NonInhibitory,Proteobacteria,390,,3,1,
Mada.3843,Alphaproteobacteria,234,12,2,10,0,0,16.666666666666664,83.33333333333334,0,0,0.009503747,NonInhibitory,Proteobacteria,234,,2,2,
Mada.3847,Alphaproteobacteria,254,53,6,42,4,0,11.320754716981133,79.24528301886792,7.547169811320755,0,0.009594244,NonInhibitory,Proteobacteria,254,,6,8,
Mada.3852,Alphaproteobacteria,263,22,18,3,0,1,81.81818181818183,13.636363636363635,0,4.545454545454546,0.038788807,NonInhibitory,Proteobacteria,263,,18,2,
Mada.4131,Alphaproteobacteria,607,3,1,1,1,0,33.33333333333333,33.33333333333333,33.33333333333333,0,0.038788807,NA,Proteobacteria,607,,NA,NA,
Mada.4328,Alphaproteobacteria,740,2,1,1,0,0,50,50,0,0,0.028904983265281455,NonInhibitory,Proteobacteria,740,,NA,NA,
Mada.452,Alphaproteobacteria,663,4,2,2,0,0,50,50,0,0,0.009503747,NonInhibitory,Proteobacteria,663,,2,1,
Mada.1365,Bacilli,510,15,3,11,1,0,20,73.33333333333333,6.666666666666667,0,0.009594244,NonInhibitory,Firmicutes,510,,3,1,
Mada.2046,Bacilli,1277,2,1,1,0,0,50,50,0,0,0.009594244,NonInhibitory,Firmicutes,1277,,NA,NA,
Mada.2367,Bacilli,52,13,2,10,0,1,15.384615384615385,76.92307692307693,0,7.6923076923076925,0.019249182349643845,NonInhibitory,Firmicutes,52,,NA,NA,
Mada.2401,Bacilli,37,9,4,4,1,0,44.44444444444444,44.44444444444444,11.11111111111111,0,0.009594244,NonInhibitory,Firmicutes,37,,4,1,
Mada.2437,Bacilli,59,7,3,2,2,0,42.857142857142854,28.57142857142857,28.57142857142857,0,0.009594244,NonInhibitory,Firmicutes,59,,3,1,
Mada.2814,Bacilli,854,2,1,1,0,0,50,50,0,0,0.009594244,NonInhibitory,Firmicutes,854,,NA,NA,
Mada.3209,Bacilli,88,16,3,12,0,1,18.75,75,0,6.25,0.009594244,NonInhibitory,Firmicutes,88,,3,2,
Mada.3695,Bacilli,50,13,6,6,1,0,46.15384615384615,46.15384615384615,7.6923076923076925,0,0.009594244,Inhibitory,Firmicutes,50,,NA,NA,
Mada.423,Bacilli,281,9,3,5,0,0,33.33333333333333,55.55555555555556,0,0,0.009594244,Inhibitory,Firmicutes,281,,4,1,
Mada.1523,Betaproteobacteria,737,12,10,2,0,0,83.33333333333334,16.666666666666664,0,0,0.079822069,Inhibitory,Proteobacteria,737,,NA,NA,
Mada.166,Betaproteobacteria,845,5,2,3,0,0,40,60,0,0,0.079822069,Inhibitory,Proteobacteria,845,,NA,NA,
Mada.3272,Betaproteobacteria,163,2,1,1,0,0,50,50,0,0,0.028904983265281455,Inhibitory,Proteobacteria,163,,NA,NA,
Mada.3162,Flavobacteriia,13,4,3,1,0,0,75,25,0,0,0.019249182349643845,Inhibitory,Bacteroidetes,13,,NA,NA,
Mada.3666,Flavobacteriia,15,7,2,3,2,0,28.57142857142857,42.857142857142854,28.57142857142857,0,0.009594244,NA,Bacteroidetes,15,,2,2,
Mada.2400,Gammaproteobacteria,140,5,1,3,1,0,20,60,20,0,0.049210951519452845,NonInhibitory,Proteobacteria,140,,NA,NA,
